unit_id,source_file,speaker,start_line,end_line,text,descriptive_codes,interpretive_codes,modality,constructs
U0001-1,Master Interviews Transcripts.txt,Anna,5,5,"Hi Daniel, thanks for joining. Can you hear me okay?",general career context,interpretive context,general,general
U0002-1,Master Interviews Transcripts.txt,Daniel,6,6,"Yeah, hi Anna. I can hear you. Can you hear me?",general career context,interpretive context,general,general
U0003-1,Master Interviews Transcripts.txt,Anna,7,7,"Yes, I can. Great. Before we start, just a couple of quick things.",general career context,interpretive context,general,general
U0003-2,Master Interviews Transcripts.txt,Anna,7,7,"This is an interview about your experiences with career support, including human coaching and AI tools for career questions. It’s voluntary, you can skip any question, and you can stop anytime. With your permission, Im recording it to record audio for transcription.",human coaching experience; ai tool usage; emotional support,interpretive context,hybrid,general
U0003-3,Master Interviews Transcripts.txt,Anna,7,7,Is that okay?,general career context,interpretive context,general,general
U0004-1,Master Interviews Transcripts.txt,Daniel,8,8,"Yeah, that’s okay. As long as it’s anonymous, right?",privacy concern,privacy caution limits disclosure,general,privacy
U0005-1,Master Interviews Transcripts.txt,Anna,9,9,"Yes, exactly. We’ll anonymize everything and use a pseudonym like “Daniel,” and remove identifying details. Are there any topics you’d prefer not to discuss?",privacy concern; ai tool usage,privacy caution limits disclosure,ai,privacy
U0006-1,Master Interviews Transcripts.txt,Daniel,10,10,I think it’s fine. Just… not too much family stuff. Career stuff is okay.,general career context,interpretive context,general,general
U0007-1,Master Interviews Transcripts.txt,Anna,11,11,"Totally. We’ll keep it to career-related experiences. If anything feels too personal, tell me and we’ll move on.",general career context,interpretive context,general,general
U0007-2,Master Interviews Transcripts.txt,Anna,11,11,I’m starting the recording now.,general career context,interpretive context,general,general
U0008-1,Master Interviews Transcripts.txt,Daniel,12,13,Okay. 2) Participant context & career situation,context sensitivity,human adds nuance and context,general,context
U0009-1,Master Interviews Transcripts.txt,Anna,14,14,"To start, where are you currently in your career, and what career decisions or questions are you dealing with right now?",general career context,interpretive context,general,general
U0010-1,Master Interviews Transcripts.txt,Daniel,15,15,"Okay, um… I’m 24, I’m a UX/UI designer. I’m in Germany now, in Berlin. I moved here almost three years ago.",language barrier; context sensitivity,human adds nuance and context,general,context
U0010-2,Master Interviews Transcripts.txt,Daniel,15,15,And right now I’m kind of stuck in this loop of short projects and freelance gigs like three weeks here  two months there. I can’t land stable work.,general career context,interpretive context,general,general
U0011-1,Master Interviews Transcripts.txt,Anna,16,16,"When you say stable, what does that mean for you?",general career context,interpretive context,general,general
U0012-1,Master Interviews Transcripts.txt,Daniel,17,17,"Like a proper contract. Not just we’ll pay you as a freelancer, good luck. I mean full-time, or at least part-time but long-term.",general career context,interpretive context,general,general
U0012-2,Master Interviews Transcripts.txt,Daniel,17,17,"And honestly, stability also means health insurance not being this constant anxiety. Here it’s… a whole universe. And I’m tired of always applying, always proving myself, always rewriting case studies.",general career context,interpretive context,general,general
U0013-1,Master Interviews Transcripts.txt,Anna,18,18,What’s been the most significant decision or moment for you in the last 6 to12 months?,general career context,interpretive context,general,general
U0014-1,Master Interviews Transcripts.txt,Daniel,19,19,"Honestly… whether I should stay in UX or pivot to something differentt. Like product, or maybe UI-only, or even something outside design. Because the junior UX market feels saturated, and also the German language requirement blocks me a lot.",language barrier,human adds nuance and context,general,context
U0015-1,Master Interviews Transcripts.txt,Anna,20,20,How often do you see German required in roles you look at?,language barrier,interpretive context,general,general
U0016-1,Master Interviews Transcripts.txt,Daniel,21,21,"A lot. Like more than half. Even if the job description is in English, they write German is a plus, but then in interviews they ask, Can you work with stakeholders in German?",language barrier,interpretive context,general,general
U0016-2,Master Interviews Transcripts.txt,Daniel,21,21,And I’m like… ich kann ein bisschen. But not enough for workshops.,general career context,interpretive context,general,general
U0017-1,Master Interviews Transcripts.txt,Anna,22,22,How would you describe your German level?,language barrier,interpretive context,general,general
U0018-1,Master Interviews Transcripts.txt,Daniel,23,23,"Maybe B1-ish, but not a clean B1. I can do appointments, Anmeldung, doctor stuff. But professionally, I freeze.",general career context,interpretive context,general,general
U0018-2,Master Interviews Transcripts.txt,Daniel,23,23,English is fine.,general career context,interpretive context,general,general
U0019-1,Master Interviews Transcripts.txt,Anna,24,24,And you moved from another country? Where from?,general career context,interpretive context,general,general
U0020-1,Master Interviews Transcripts.txt,Daniel,25,25,"Serbia originally. I studied there and then moved here for career and life reasons. I also had a girlfriend here at the time, but that ended.",general career context,interpretive context,human,general
U0020-2,Master Interviews Transcripts.txt,Daniel,25,25,I stayed anyway.,general career context,interpretive context,general,general
U0021-1,Master Interviews Transcripts.txt,Anna,26,26,Does your residency situation affect the job search?,general career context,interpretive context,general,general
U0022-1,Master Interviews Transcripts.txt,Daniel,27,27,"Yes and no. I have a legal residence permit tied to work, but it’s not super fragile right now. Still, employers sometimes ask, and you can feel hesitation.",context sensitivity,interpretive context,general,context
U0022-2,Master Interviews Transcripts.txt,Daniel,27,27,"Even when I say, “No sponsorship,” they still look unsure. It’s just extra friction. And for me it adds pressure because I want a contract not only for money, but also for paperwork stability.",general career context,interpretive context,general,general
U0023-1,Master Interviews Transcripts.txt,Anna,28,28,What kind of work have you been doing in your projects?,general career context,interpretive context,general,general
U0024-1,Master Interviews Transcripts.txt,Daniel,29,29,"Mostly early-stage startups. One was fintech, like a dashboard redesign. Another was e-commerce, improving checkout.",general career context,interpretive context,general,general
U0024-2,Master Interviews Transcripts.txt,Daniel,29,29,"And then a meditation app where it was more UI polish. Sometimes I do end-to-end research planning, interviews, journey maps, wireframes, prototyping in Figma, handoff. But in small projects it’s often like we need UI by next Friday, so you don’t do proper research, you just guess.",actionability/structure,effectiveness equals actionability,general,actionability
U0024-3,Master Interviews Transcripts.txt,Daniel,29,29,And that bothers me.,hybrid preference,interpretive context,hybrid,general
U0025-1,Master Interviews Transcripts.txt,Anna,30,30,What bothers you about it?,hybrid preference,interpretive context,hybrid,general
U0026-1,Master Interviews Transcripts.txt,Daniel,31,31,"Because I want to be a real UX designer, not just someone making pretty screens. I want to justify decisions, test, measure. But the projects I get are more like survival mode.",general career context,interpretive context,general,general
U0027-1,Master Interviews Transcripts.txt,Anna,32,32,How do you usually search for work?,general career context,interpretive context,general,general
U0028-1,Master Interviews Transcripts.txt,Daniel,33,33,LinkedIn mainly. Also company career pages. Sometimes Wellfound.,cv wording; ai tool usage,interpretive context,ai,general
U0028-2,Master Interviews Transcripts.txt,Daniel,33,33,"In Germany I tried StepStone, but it’s very German. And I go to some meetups—UX meetups, design systems meetups. I tried portfolio reviews too.",portfolio/case study feedback; language barrier; context sensitivity,human adds nuance and context,general,context
U0029-1,Master Interviews Transcripts.txt,Anna,34,34,What has networking been like for you here?,general career context,interpretive context,general,general
U0030-1,Master Interviews Transcripts.txt,Daniel,35,35,"Mixed. People are friendly at meetups, but it’s hard to convert to referrals. You talk, you connect, and then… nothing.",general career context,interpretive context,human,general
U0030-2,Master Interviews Transcripts.txt,Daniel,35,35,"And I’m not super outgoing. I can talk, but it costs energy.",general career context,interpretive context,general,general
